comment,sentiment
بسكوته صوماليه,N
سب عليه,G
طريقك لل,N
مو نحنا وقت نطلع من المعهد,N
وك خليك سنغول مبسوط وشو بدك بوجعة الراس,N
بالعكس موضوع مش مهم خاااالص,N
تعي شوفي التعليقات نقاقة,N
كنت صغيرة صف اول اكلت صواب حجرة بالغلط خربلي حواجبي الله يرحمو,G
لك أي هااا الأدمن الفرفوش النغش,P
شكلوعندو واسطه كبيره ودافع مصاري لهيك وجدومبررات لقذارتواذمريض نفسي لازم توقفوعن مزاوله المهنه,G
محمود ديب اشتهيتلك اياها,N
طعام الالهة,N
معلمي فهمك كفاية,N
نعم يعتبر مسبب و يتحمل المسؤولية و لكن هذا الأمر لا يمت للمنطق بصلة و يجب أن يتم إيجاد حل لذلك,N
وصلتو لهون شي,N
اذاالشب  الترند تبع ال  باليل مانسيو بعد سنين  بدهم ينسوها,N
الوجة الحلو لسوريا ما احلاهن,P
ازا بتعطوني قدن ع مليون مرة ما بقطع علاقتي معاا دخيل عيونا,P
ايمت يعني,N
تخففتعاقب بالسجن  سنوات على الأكثر,N
ايه طبعا لو ما أطلقت النار عليه ما طلع بسيارة الإسعاف ولا راح عالمشفى و لا تواجد بوقت الحريق,N
أعاده الله علينا وعليكم بالخير واليمن والبركات إن شاء الله,P
خلق ليفترس,N
والله مظبوط كل واحد بدو الخير إلو ولولادو وبيتمنو بشوفو غيرن تحت الصرامي إنتو أكبر قدر خاصة إزا كنت معتر وفقير والله اطلع فيك وهنن زنكين وما عطاهم الله متل ما عطاك سواء علم أو أخلاق أو محبة الناس,G
ما بتنفرض عليه اي عقوبه لانو بيستفيد من مانع عقاب,N
والله الغش شغال بس شو دحش الليمونة بالموضوع,G
فكرتها بطاقة تموين اول شي,N
يا مايا ويا مايا,N
حالفين يمين انو نموت باليوم مية موتة حسبي الله ونعم الوكيل,G
مبروك على النبيحة قائد الوطن المعرص,G
فاضي ربع ساعة كل يوم بس,N
وين رفقاتي يجو يسمعوو انو نفسيتي تعباني ولازم ياخدوني مشوار,N
النساء محاولاتن اكتر  بس الرجال انتحار فعلي أكتر,N
هاد نفس المحل يلي رحنا عليه تبع السيارات  عم فك الكريكو يلي تحت الطاولة,N
شكل العاروس بعد مافتحو التابوت,N
هااا ليش هللبنت مانا وعيانة شوحكت,N
حمزة عجآج شوف شو بدو عم يناديلك,N
بتحطوا البوست واز حكى رايه الواحد بتحظروه شو هالصفحه الظريفه هي,G
رأسية للوحدة من الخولي بعيدة عن القائم,N
لاء  اكتر من عشرة,N
هوي هيك هيك تنمر بطريقة محترمة  بلا منو احسن لان التنين بيزعجو,G
اسفة اني تنمرت عليكي الصبح  انا ضد التنمر والله بس مبعرف كيف هيك صار,G
بسمة أمل,N
اي ساعة لانو رحت ساعة ستة خالص,N
احكام الألتزام الحمدلله خلصنا منها,N
مو عرفانين كيف يستفزو الغرب ليمنعوا النسل العربي من الاستمرار,N
أشغال شاقة  ليش حتى تريحوها فورا وتعدموها,G
هي بالذات اذا بتسبب شلل مامنستغنى عنها,P
هلق انا من جهتي ما بحب هيك مناظر ومتل ما بقولو  الناس أذواق,G
حطي نقط واذا بعتولكن العنوان خبروني,N
ستو وحر فيها بيقتلها بيسرقها امور عائلية ما منتدخل فيها,N
تعاقب رهف بالنومه أسبوع بالفرع وبعدين لكل حادث حديث,G
شو عرفك انو بيطلع بالسبعة من السكن,N
هل لايه اخطر من كوروونا نفسها,G
اناااا بيدلعووني احمد بيمشي الحااال,N
اي شركة السيارات اللي عندا بتخلي كل شباب حمص يحبوها مو بس عمار,N
في جمهور,N
هي المصطلحات موجودة فقط ضمن ففرات ومواد الدستور,N
أحلى شيي عنجدد,P
خلينا نحضروا بس اجي مشان  نحافظ عمشاعرنا الايجابية لما نسافر,P
ولامره مرق هك شي معي,N
يلا بعد كم سنة بتقول ياريت لو ضليت بهل تابوت ولا تزوجت,G
قتل أحد الأصول أو الفروع,N
حاج نفاق ذروة وكل يوم بيتركب اكتر من  خط نت,G
انا توقيعي كل مرة رسمة جديدة,N
نسبة الرعب فيه ماتجاورت ال,N
يعفى في حال التأكد من وجود المرض,N
السكران لفقدان الأدراك عنده,N
من زمان عملو هيك,N
مو بمخربطين قصدكن لان مبارح جبتها,N
وكيف عم تسمحو لا واحد متل ماعم تقول دكتور يربي اجيال وتعطو قيمة وقدر,G
عبد الله ابو عدنان أغلا آغلا الناس اشو شباب,P
الحمدلله ع سلامتوو,P
بسطة جرابات وشحاحيط بشارع الثورة,N
لا لانها مجرد وعد بالزواج,N
المشكلة حتى مع اللهاية  عم يبكي,G
الحذر ثم الحذر,G
مبروك لنسورنا,P
شو رايك,N
يالله يالله,G
دودة يلي تنخر عضامكن اللهي الاعياد عندكن لناس وناس,G
لوح الطاقة,N
ياحرام انتهى وقت الصلاحية قبل ما يستخدموهم هههههه,G
كتير كتيير حلوين الله يهنيكون يا سوسو,P
حاج الكذب ما بتتعبوا,G
رسالة للمقبلين عالتسجيل لاتسجلو ولاتدرسوا تعلموا صنعة لان ذل,G
بالتوفيق لنادينا الكرامة,P
رب العالمين بيستر عالأنسان,N
عنجدد شفت أربعة,N
ركزيلي ع الملاحظات منيح حتى تقدري تنامي,N
أنزيم دي هيدروكسي الما يهمناز,N
ام سوري عكل مسبة سبيتك فيها,N
ميلاد الإبراهيم  غرف قلبي طلعي ضحكتا,P
الأعظم في التاريخ,P
زوجها الثاني لأن الأول بتطلق منو غيابي بعد اربع سنين,N
بدك تخطفي حسن ياشريرة,G
والله كأنو بالمزة فيلات غربية,N
اول مرة بكون الخبر واضح و المذيعة مغبشة,N
ليش حاسة هالقصة عبارة عن حلقة من مسلسل باب الحارة,N
واذا رحنا عالمصرف وقلعونا وقالولنا مافي ليرات شو وقتا,G
بالحادي عشر استاذ الاسلامية قلنا بوقتا شو ذنبن اهلك يتعبوا ليجيبوا مصاري ويعيشوك ويدللوك ع القليلة لازم تكافيهن بنجاحك,N
لا انا عندي صوبيا من المفاجئات,N
مفكرين الطيارة سرفيس جبلة اللادقية,N
وصل الخبر للاردن,N
وكيف بدي اتحدث معو,N
لا و الله مو صح هالحكي,G
اي فداااه لميسي,N
الله يعطيكم العافية  سؤال يطرح نفسه مين مصمم لباس الفريق,P
الخطبه وعد بالزواج لا يترتب عليه اي أثر ملزم لانها ليست عقد,N
اي شفتك اي,N
يوم واحد بليييييز,N
اسمعي غنية انساه ل ابو محمد رشيد بتنسيه وبتنسي بيو,N
تعاقب بالاعتقال المؤقت بعامل الاشفاق والشرط الاساسي انو يكون في الحاح بالطلب,G
هالبوست ناقصو آية,N
لكل شعرة رده شعر تعاكسها جهة وتناسبها شدة,N
وملعب خالد ابن الوليد يلي وعدتنا من سنة عاساس يكون جاهز,N
بحس إنه بدي إضحك لانه المتنمرين ال بحياتي ظراف للاسف بس مابضحك وببهدلن ومنتقاتل وبصيروا يقولولي كأنك مامتنمرا على حدا بحياتك وبصير اشرحلن عن تطوير الذات وإلخ وبسكتوني آخر شي وبتموا عم يتنمروا,G
لا بالعيد و لا الجمعة و لا الأحد,G
حطوا خلطات بلا عسل مافي عسل طبيعي باجماعة بليز,N
حسب معلوماتي بعد أربع سنوات من اختفاء الزوج الأول تعتبر مطلقة منه شرعا,N
أبو بشير الأرض مسطحة,N
بدي رقم ام جواد لترفيع المواد ضروري,N
حاجة كذب  يخرب بيتكن شو بتكذبوا لا في باصات لدمر ولا للضاحية ولا قدسيا,G
يا قلبي انتي خسا ورب المسا,P
صحيح هيك قالت ضمضومة,N
اي واذا شو هالخبر العظيمهاد شغلهم و مسؤوليتهم,N
برغم انه انا م لي دخل بده,N
أنا بكون بالمنام عم حل الأسئلة التي عجز عنها العلماء ويلي ما دخلا بموادي أصلا,N
والله يا مايا رح تشتغلي بالمسح والفلاحة  سنة الله يسامحك كرمال أب تيم تتهوري يا ضيعان الترباية,G
بالرغم من ال ألف و ليرة تنطح ليرة اللي رح نقبضابس اي برجع بختاروا,N
مش حلو ابدا قمة القرف,G
حلوين جيبوا منن بس وين ما عرفت,P
حتى اليوم اللي نرتاح فيه هو يوم ايجابي كسبنا فيه راحتنا وجددنا فيه قوتنا,P
صارت الاطفال حتى تكفر وتسب,G
ماعطوني هيك شي بالقانون,N
شو حلوين  وشو بيلبقلكون الفرح,P
بالنسبة الي بالصيف,N
انا بدي بالاول,N
وزارة الدفاع في الجمهورية العربية السورية,N
اي والله من وليد شخيلان ان شاء الله مايشوف تعليقي,N
انا بدي رابط تحبيل وزارة الكهرباء بلكي بتتولد الكهربا وبتجي عنا,N
ربنا يشفيها,G
لاي منطقة البوابات,N
لوين بدو يجيبا يلكعك ربك,G
شو هالتخلف والعتت,G
بربكن لاتصرحو بأي خبر ما بتمونو حبايبي,G
عيني انت يا غالي هي عطريق صلنفة لا تقعدوا تاكلو خرا علينا ولو,N
اي يسلم بكرا بلاقيها بحضن غيرو,G
آية بتطلع براءة لأنو كدعه واضح انو المشكلة من محمد,N
وين صورة الحلويات,N
لك يا ادمن انت اخوث اكيد,G
وين عايش انت قال الف بدك شي  مليون وقليل كمان,N
اذا عم يعتذرلي وهو حاسس انو جرحني بحكيو او فعلو عنجد مو بس فض عتب ف اي بسامح طبعا وبعتبر الموضوع ما صار,N
نعم ويكون مسؤولا مسؤولية مدنية تقصيرية ويلزم بالتعويض,N
مين قلبين الدفاع هيك,N
وبعملو كاسة متة وباخد رقمو في حال احتاج يسرق شي تاني اهلا وسهلا,N
لي معو رقم رورو او حسابا لفيس يزتو هون لكريم الله بحبو,N
وصلتلا ورتحت منا يخرب بيت هالمادة احكام الالتزام  كانت سم,N
مافي مبرر للتراجع الكبير بالربع التالت,N
الله يرحمه ويجعله من أهل الجنة,G
استسقاء الا استطفاء,N
الألفين وين راحت يا في خطأ باللعبة يا اما في خطأ بالحقيقة وعالحالتين آكلينها,G
يعفى من كامل العقوبة,N
لا مو احلى,G
اثنا عشر جنديا بقيادة مساعد او مساعد اول,N
بجنننن لو بعرف انو موجود كنت حضرت الحفله,P
هههههه اي لو خابط بكيس طحين بسرعة كمسا مابيطير المكياج,N
لسا سهران وعم راقب وشفت اكتر من شهب,N
كلن والله بس لحمه وجبنه اكتر,N
بيفيشولوا قبل ما يطير,N
بشل هاللون,P
وينك ما شفت نقطتك قلت بستفقدك,N
نسيتو تكتبو دون معرفة الاسباب,N
اللغة التركية يقصف عمرها,G
ليش التفضيل يعني مو المرأة نصف المجتمع,N
غلطان المصاري والواسطة هي جيشك الوحيد المحامي مابيقدر يعمل شي اذا ما مشيتلو أمورو بواسطاتك هو مجرد واجهة,G
كلها ساعة زمن وبتروح الريحةوبعدين,N
كنت سميت تالا بدل مايا بكره اسمي لان,N
مارجعتي سألتيني,N
هاد معناتو انو مجد يقعد عاقل وبلا ما يحاول يقتلني شنو رح يتعاقب,G
شو حلووو الاهتمام والاحلى انو يكون بكل وقت,P
الله يفرجها عليكي وعلينا,G
انا بوقع وين ما صرلي  بس يلا ما عندي أملاك لياخدولي ياها,N
لعما عهل مسخرة ألف مبروك للثورة بيستاهلو,G
متل ما نحنا مو كلشي منعمل لان الشباب بيحبو هيك,N
انا بحب الاضافر بس بقرف اآكل من طبخ وحده هيك اضافرها صراحه,N
مرة بعيد ميلادي ما حدا عايدني من اهلي ع الساعة و ما جابولي هدايا  قلت معناها عاملينللي شي كتير ظريف اصبري و شوفي المفاجأة المسا,N
لا بالعكس تماما,N
كلن الفين سيارة صافين ع الدور مابنحكى فين ساويتو ازمة,N
الله يفرجا علينا وعليكون يارب,G
عفيية  بس يصير عندي سيارة ومايعبولي,N
الله يعين العباد ويفرج عن اهلنا بسوريا,G
اسلوب الحكي بجنن,P
هاد مصمم ولامصممة,N
سنوات غياب يعتبر بحكم المفقود اي الزوج الثاني أحق بها,N
اسا بدنا تلت حراس  بتصير امورنا بالسليم,N
مارفعتا كتبت شي بعشرة,N
لقيت الحل نزليه,N
الكياتةيلي بالضحكة ياربي,P
بالله شفلنا حل,N
بتكون قاعد بأمان الله فجأة بتلاقي حالك قاتل ومحكوم أعدام فوقها,G
بسبب انقطاع الشرف عند كل المسؤلين عديمي الضمير و الشرف,G
علق بقلب اخضر يا ب يا اشقر يا تربية,N
تبيعي المحبس,N
هلأ الدبدوب عم يتمشور ونحنا بالشغل,G
هي الحماله لحالا يعني ولا بيجي بقلبا شوكولا وشيبس,N
لو صارت معي بقول مستأجر ميكرو ودافع لشهود زور,N
عم يقدم حره الزلمه,N
طريقة تحضير سندويشة لبنة,N
صح مليار بالمية,P
السبب انا لان الله غاضب عليي وحاطت هالفرع بعقلي,G
استغفر الله,G
معلي في عطل في موقع الكونغرس,G
حدي خليك هههه الله يرحمك ياجدي ياريتني ماسألتك,G
بعد مسلسل نبضات قلب أنا بهالحالة رح دور على مشرط او سكين وافتح صدر المريض وبعد اضلاعو مشان امسك الشريان الابهر وتضل ايدي بالصدر لنفوت غرفة العمليات وسلمو للدكتور,N
عقبال كل سنة ينعاد ع لجميع بالخير والبركة,P
لا يعاقب لانو عم يعاني من مرض عقلي وبهلحالة يعد مانع من موانع العقاب,N
كذب هي  صورة من أمام مطار دمشق الدولي,G
رح مزق حالي واقول يلعن الساعة الي جابني بهالوقت,G
لازم يكتبو المنيو بخط الدكاترة,N
واخيرا طلع حدا وحكا انو اصدقاء الجامعة والسكن مؤقتين وعلاقة عابرة ومالها اي اثر,N
وبدكن معلمين ومعلمات,N
اطيب شي نحط المحمرة عالجبنة مع اللحمة والزعتر وناكلن لقمة وحدة,N
جريات كهذه من الضروري تواجدها في منزل كل فتاة,N
معقولي كل الحماصنة هيك,N
بس نحاول نفهم التغيرات الهرمونية للأنثى ومانستغباها ونستسخفا منصير مع أطفالنا بأحسن حال صحيا ومعنويا,N
فعلا كلام صحيح,P
ابلع على اللوبي ولاك,N
الله يردها بسلامة لأهلها,G
كيف منقدر نسجل ع دورات لنستفيد ونفيد وشكرا,N
جعفر حلواني  ليكو الشنبقلي بحب السكر,N
بنكد عحالي بزيادة وبلوم حالي عكلشي لدرجة اكره حالي وحياتي وكلشي,G
هههه مافي شي ما بيصير بالشام,N
كأنو من كم بوست كانت عقوبة بيع الكحوليات للطفل من  ل  ليرة,N
بشهرين الولد بيطلع  الف من ورا المصلحة,N
بحس أنو هيك عم حط مبرر للفشل,G
الله يجيرنا,G
القناه السوريه لهلق عم تعمل دعايات لأسعار المجوهرات والفيلات,N
عندك خبر انو خليتني زت المحاضرة واقعد فكر مين هيي سندريلة الفرع يلي عم تتغزل فيها,N
هلا شبكن,G
ويجيبو ولاد ويزتوها بالشارع,G
تكثر الجرائم في قاعات الامتحان,N
اخي ما بدك تتحرر انت كمان من افكارك البالية,G
انا شو قلتلك,N
شكرا لانكم تملؤون حياتنا بالفرح,P
منصحة الصحة السورية,N
اي عنجد وانا بطالب بإيقافو مشان ينعرف الجديد من المستعمل حاجة غش وترقيع,G
سعر جمركه انفي نكس,N
والله في شب اسمو نوار صالح ع طول بيقعد وراي و بيسرقلي افكاري بالاساكيز,N
ليش ت يعزب حالو يصورها ب السناب احسن,N
طيب منسقط ومنقول ويييي مو أسهل من الزحف,N
كل الدكاترة ممتازين الله يعطيهم العافية وكل عام وهنن بالف خير,P
قشعر بدني تذكرت شو صار فينا سنة الماضية  الله يتلطف,G
تم نكح السايدة الوطنية,G
أتوقع أننا لن نرى السيارات الكهربائية عندنا بعد عشر سنوات ولا بعد عشرين سنة ولا بعد ثلاثين سنة ولا بعد أربعين سنة ولا بعد خمسين سنة ضاق خلقن وإلا كمل ترى أنا فاضي,N
ألف ألف مبروك,P
الف مبروك للسبع,P
كل عام ونادينا وحموصتنا وبلدنا بالف خير,P
كمان كزب واحتيال والله ظلم,G
قلبي قلبي اب علي,P
حشا الله كرخانة,G
بقصة هالمقولة صحيح,N
كمية حلاوة البنات القصيرات بالتعليقات,N
عيدو جمعه ركز بجملة نصيحتي الك,N
ريحة الوسخ والنشح,G
وخط قطنا بريف دمشق ليس بالأفضل وما يحكم الخط هي المزاجية التي يتحلى بها أصحاب السرافيس وما عجبك لا تطلع,G
يعطيك الف عافيه,P
طيب انا كفتاة طولي  شو بدي اعمل فيه نافس برج ايل مثلا,N
لزقتو  بالتيكو  وشرططيون,N
لا تذكرني معي هنن كلن انكليزي قدمتا دورات,N
ذكرتني لما كنا بمسيرة بالشام بال و صرنا نصفك مشان يطير المنطاد نفس الفعالية تماما,N
عاصم عبدالرحمن,N
باين من عيونا عم تقلا موو مطولة هالضحكة وهديك البراءة فيها ياحرام,G
تبدلي بالأحلام اني بحب التانيب  بحب هيك شغلات قال مزعوجة قال,N
المغفل بدنا نردها لأصولها باللغة ونعرف شو هية بس حسب خبرتي المتواضعة,N
ممثلة مبدعة ورائعة وأنا بحبك كتير,P
شوفي صبا,N
يمكن كانت عم تاكل بوظه بالدبلان الحمد الله على سلامته,N
مشان تساوي عقيدة بالبيت,N
والكولت لعندي شو بعمل فيها,N
شد الهمة كووووتش,N
اذا قادرة تعيشي حالك رجعي ع بيت ابوكي وفتحي واذا حدى قلك عيب ضلي لحالك سكتيه ولاتنطري رجال ان كان اخ او زوج يكون سند الك سندك رب العالمين وحالك وبس,N
بالتوفيق أنستي,P
شو هالصورة المميزة,P
بتتذكرو ابن وزير العدل اللي دعس عسكريين ع حاجز,N
الله يبعتلك بالعمة ماعاد شفنا الكهرباء,G
كانو يريدون بس بل اخير هنن يلي زحفو,N
أحمد حسام اخي الغالي صحيح مبارح تغالظت بشدة بس بضل اخي ايمت مابدك انا جاهز ههههههههههههه,N
بصراحة الغرامة بتشجعك تشتري كلب و تربيه و تخليه يعوي عالعالم,N
بعد ما نجرب الزيب لاين منروح عليها  راميا سلمان,N
ما فيهن يشيلوني من سوريا و يحطوني بشي دولة فيا كهربا,N
نحنا المشاهدين كلنا منحبك بس مامنحبك لتدرسي,N
بكون حقا  وسبعة تالاف,N
ع قا سع اللي بيعرف بيعرف واللي مابيعرف شو بقول,G
الخورفة جرم,G
هالصفحة حاطين حطاكي كل شغلة اية,G
هوي بالحالتين نفس الشي,N
هاد أسمو القتل الرحيم  بتتعاقب  القتل بدافع الشفقة بس لانو اختها,N
وامي كانت تلف سندويش برسمتي,N
عصبية وكبر راس والله صعب بس شوف الحال من الاساس مو موجوة عندي,G
القصة كذب بكذب ومابتتصدق ما ح تقلعها لو مانها مطالعتها عن دينها,G
بجنن هالون عشقي,P
مابحب الشتوية,G
الله يرحمو ويصبر اهلو,G
حابين يعملو سياحة ويرجع مافي أسباب فهمانين غلط,N
طلابالجامعاتالسورية يطالبون ب الترفعالاداري,N
بس الوحمة فعلا بتجي بتشبه الفاكهة يلي توحمت عليها الام يعني ممكن نصدق شوي الخرافات لان لو فعلا ما الها دخل كان فيها الوحمة تكون مدورة او بشكل عشوائي مو ضروري تاخد شكل الفاكهة نفسا يلي توحمت عليها الام,N
مع دوده,N
ستحو لهنود يحكو هيك سير وهيك كذب,G
المريضين اللي حاطين أضحكني الله يشفيكن ويعافيكن,G
آعوذ بالله من غضب الله,G
بلا حب بلا بطيخ المال,G
الله ياخدا يا ضيعان الترباية فيا بس خليا تندفس  سنة بالسجن,G
تجربة كثير حلوة وممتعة,P
المشاعر  أقوى من الحواس,N
هههههه ماقصر  صح مرح تصدق,N
فعلا طيب كتير,P
ليك الدكتور منذر,N
لوين اخدو قلبك ممكن نعرف مشان نروح نزورو,N
وقفة المطبخ غير,N
حسب الفليلم اذا انتاجو هوليودي او بوليودي,N
جيده عطول منزور بعض بس اوقات بحسا مكيودة,N
ماكان حدا يعرف شبو حاج تنشرو الخبر عم اتوجع انا حاج مشان الله خبرو بعض ووقفو نشر مبايلي ماعم استرجيت احملو لانو كان بأيدو بكفي ياعالم,G
جوري سما الشام,N
اذا جرة الغاز الحرة  بقى كيف بدها توفي معو,G
طيب إذا كتبلها بالإنكليزي أنا طلقتك بيصح الطلاق وهل المرأة إذا حبت تثبت الطلاق بتقول للقاضي طلقني بالإنكليزي,N
مبسوط هلأ,N
تثقف بكرا بيفدوك بالمستقبل,N
من بعد أذن الآدمن,N
لكم كل الاحترام والتقدير الله يجزيكم الخير,P
عادة بس شوف بوست طويل مابقراه  هالبوست مو بس قريتو كلو عدتو تانية وتالتة,P
الله يعيينا بس,G
قلو لا جدك انا بنصحو يضل بقبرو و يسكت,G
ايي والنبي,N
برافووو والله اي موضوع يخص النساء هو موضوع خصب للمناقشة عند الجميع دغري بيبلشوا يعطوا رأيهن ورأي الدين هني كل واحد عامل السبعة وذمتها,G
ايمت نفقدت,N
موافقين موافقين موافقين مواافقين مواااافقيين,N
عدنا والعود أحمداذا هو خالص عمرو أنا شو دخلني,N
لأنو عقد النقص جوا كل واحد بتخليه يشوف فيها شي ماعندو ياه او عندو ياه ومابحبو ف بينقدو,N
والله انا اشعر بالعجب يعني شو السبب بتمنى حدا يبحث عن الأسباب ويفهمنا,N
لسا ما شفتو شي,G
مروحة البطاربة فيا صوت و ضو  لولاها اختنقنا,N
اتحدا محل بسوريا بيلتقا عندو هيك منظر,N
يعني اذا تنمرت عواحد قديش بدفعلو تعويض لاعرف واحسب حساباتي عم أتنمر كتير هل أيام,G
مميز دائما,P
الف الف مبروووك عقبال الشهادات العالية و الدكتوراه يا رب شي بيرفع الراس,P
الحياة بدا تستمر ومارح توقف عند حدا,N
اهل سويدا معروفين الحمدالله,N
ان شاء الله تأخيرتهم ع خير يارب,P
زيارة موفقة,P
أقسم بالله العظيم أن أمارس مهنتي بشرف وأمانة واستقلال,N
الله ياخدكون,G
معلم يعني هي اشكالنا كمان بدها واحد يتنمر,G
هي من وين عم تاكل البسكويت,N
انا هي الصورة هزتلي بدني ورعبتني مستحيل احضرو ولا حط ببالي هيك افكار منو لهل فيلم انا بكره هيك اشياء لانو بتشدني اتفرج عليها وبعدين كتير بصير خاف بلا مانضحك العريس علينا ونئلو تفضل معي بدي روح ع الحمام بالليل,G
حدا يفهم الجماعة انو مالي علاقة بالموضوع وما كل ما صارت جريمة تلزقوا فيي ما لقيتو غير اسمي,G
اولا تصرف غلط منها تئلع حماتها هاد بدل ع سوء تربايتا,G
الوطن لما كان بعمرهن كان يلعب ع ضو الشمعة,N
طلعت روحي وماخلصت قراءة وبالعادة البوست الطويل بملل بس أسلوب السرد رائع وبشد وخرج تكون حلقة بمسلسل مع أنو للأسف حزينة بس واقع  كتير حلوة,P
اطيب شي برحلة وقفة عندن والصورة عزفت هه,N
الف قليلة  هيي تحاسب على جحشنتها في النصب على الجحش,G
طيب بلكي ال دبوكلي كذاب كمان  نحنا شعب ما منعرف شي ومجبورين نصدق كلشي,G
شو هالخبرية الحلوة,P
ال ماجبتها لا بتقليدي ولا باتمتة,N
جملة مقرفة والي عم يقولوا لسا قمة بالقرف والتخلف,G
اي صح كان شعور كتير حلو حلوة فرحه نجاح كنت كل مافكر بعد بكلوريا رح ادخل جامعه قلبي يطير من فرح وبعد مادخلتلا مامصدقه اتخرج,P
اذا وزير الكهربا بدو يسهر بمطعم بيحكي مع جماعتوا لاحد يقطع الكهربا بس مباراة كأس الجمهوريه عادي تنقطع,G
هو المنطق اعدام بس قانون العقوبات السوري بقول من  ل  سنة اشغال شاقة,N
هذا وإن صحة الرواية  اسمحولي اعلق واقول,N
لو سمحتو بدي سجل شكوى منشان رقم تلفون ارضي صارلو معطل اكتر من  شهور والعامل ما رضيان يصلحو امين بدي اشتكي,G
اذا ما بيدفع تعويض و بيصلحو ببلاش و بيهديني معو فيلر و غمازة صناعية لاسختو بوكس قاتولي يلحقو التشوه بوجهو عشر جيل لقدام,G
بالتوفيق للشباب والنادي,P
اي والله سر سعادتي بابا,P
اغلب هيدي الاعراض موجودة عند رفيقتي مستمرة  عندها من فترة اسبوع بشكل مستمر بنصحها تشوف دكتور  او الطقس والشوب عم يعمل ديقة خلق ونفس,N
ولا واحد,N
عندي كم دلم قلت بفلح عليه ماكمشتو,N
اي رفيقي نبراس اكبر كشاش حمام وعندو كشة بعنينين وكل الطيور تبعو البيلندي والكشميري بيشهدو,N
لا أنا لهجتي نظامي نظامي مضحكة  ف بعرف انها بتضحك وعادي الحياة ماشية,N
انو كل الناس بتتمنالي الخير بس للاسف طلع غلط هالحكي,G
اذا فيه اي نص قانوني أو ثغرة قانونيه,N
الله لا يهديه ولا يقويه,G
الله يطول بمنصبة ويوسع داراته,N
اي فينو بعرف كتير عالم غيرت اسمائها,N
لا حبيبتي وانتي الصادقة الجمال والاناقة بالشعر الطويل,N
همسة ألم ألم  ههههه قولي لابوكي يدبك,N
ما عم نشوف هالعقوبة عم تطبق ابدا,N
بتكون الدوائر مسكرة بأجلوه لبعد العيد,N
طيب كلها ست شهور سجن وبيخلصو ما بدها هالهريبة لا وبزيد العقوبة عحالو,N
في عالم حرام يكون عندها ولاد من كتر الاهمال,G
ضلي قاعدة على قلب الحية واوعك تتجوزي و تدمري حياتك و يزلك العمر كلو,G
ذكرتني بالسنة الاولى ممكن الحريق لانو سبب كافي لاحداث النتيجة الجرمية,N
واذا ماحطينا نقطه يعني تروح علينا السراويل قصدي التفاصيل,N
البسكوته اخدت مفعولها,N
يحرق اخت هالفاصله,G
قلة ادب وقلة زوق وتربية وشغل فلت,G
دخيل هالعلطة الي كاتبلياها,N
الدكتور صائب عطورة كل سنة وانت بالف خير,P
انا مرة سمعت عن قاضية ارتبطت بالمتهم,N
الله يحميكون,P
باسل الكياري,N
تقبر قلبي شو بموت فيك عيني ربك اهضم وارق واظرف انسان,P
مبارك هذا النجاح وهذاالتفوق وهنيئا لكم حصاد ما زرعتم بستاهل كل خير أستاذ جابر,P
علاقة حب ما بيقدر يخربا ولا صحت مجدرة,N
ما بعد القسم اخ را من قبله,G
والأنوع التانية اشقد جمركتها,N
ان الغني هو الغني بنفسه ولوانه عاري المناكب حافي يسعداوقاتك بكل خطوةبتخطيها,P
محمد وهندي كنت قول شاروخان مثلا,N
القتل العمد هو التخطيط المسبق والترصد والمراقبة والادارك للفعل والنتيجة واتجاه القصد اي النية لارتكاب جرم القتل بقصد ازهاق روح انسان حي,N
عفكرة اذا معو مرض نفسي ما بتكونو غطيتو علية ابدا,N
لاتقلي بس الاطباء وحنا الله وعلم,N
اجتماع حمير على قصعة شعير,G
لا تعفى من العقاب لكن تتوقف ملاحقة المجرم لحين شكوى الفريق المتضرر,N
اشرب للصبح صافي محدا يقلي كاافي ههه,N
اول مرة من سنين بيكون في تعاقدات ممتازة,P
ممكن تكتبو السعر,N
هاد حرامي ابن حرامي وعيلتو كلا حرامية,G
الله يبعتلي علامات ع قد ماشفت صور وستوريات ميسي بالمؤتمر اليوم,N
الله لا يسعدلو لا صباح ولا مساء عشو حميان هالمحترم  بشتهي وزير يحب المواطن,G
وبتلاقيها بالنهار القصير بتسفقها لبنتها كل كف بيسطلها سطل,G
منين محويشنوا هاد الحارس,G
قديما المرأة كانت معززة والها مكانها بالمجتمع  مو متل هلا احيانا تعتبر تابع لرجل واحيانا ما بيعرفوا بوجودها كلو,G
لهيك كلكن بكندا,N
من اروع القوانين والقانون فوق كلشي لن  ولن نغفرامي خط احمر,P
حلو كثير,P
صفحكتن عالعين والراس ويلي عم يتفزلكو في بلوك,P
يمين  إن اخدم هذا الوطن بأشراف وإن أدافع عنه برا ويحرا وجوا,N
محمد مجذوب المتميز الرومانس والصوت الهادي الجميل,P
يمين بالله حاطة عيني على دعاء السفر,N
الله يفرج هم الجميع,G
اها مشان هيك زودتو الرواتب مشان نصرفن ع المنتجعات,N
ابتسامه مع دبكه,N
الا رسول الله,N
انا سطم مخي شرحلي ابن عمي اشو بدو كلامو جدا جميل بس مافهمت شي منو,N
من بعد مامي ماحدا يساوي,P
ايام معدودة,N
ع مهل شي شهر كمان,N
